,,PHARYNX - NEURONS,,,,,,,,,,,,,,,,,,,,PHARYNX - MUSCLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SENSORY NEURONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPHID INTERNEURONS,,,,,,,,,,,,,,,RING INTERNEURONS,,,,,,,,,,,,,,,,,,,,,,,VENTRAL CORD INTERNEURONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RING MOTOR NEURONS,,,,,,,,,,,,,,,,,,,,SUBLATERAL CORD MOTOR NEURONS,,,,,,,,,,,,,,,,,,,,,,,VENTRAL CORD MOTOR NEURONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BODYWALL MUSCLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE HEAD,,,,,,MALE SENSORY NEURONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE INTERNEURONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE MUSCLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I1L,I1R,I2L,I2R,I3,I4,I5,I6,M1,M2L,M2R,M3L,M3R,M4,M5,MCL,MCR,MI,NSML,NSMR,pm1d,pm1vl,pm1vr,pm2d,pm2dl,pm2dr,pm2vl,pm2vr,pm3d,pm3vl,pm3vr,pm4d,pm4vl,pm4vr,pm5d,pm5vl,pm5vr,pm6d,pm6vl,pm6vr,pm7d,pm7vl,pm7vr,pm8,mc1dl,mc1dr,mc1v,mc2dl,mc2dr,mc2v,mc3dl,mc3dr,mc3v,ADFL,ADFR,ADLL,ADLR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,AFDL,AFDR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLQDL,OLQDR,OLQVL,OLQVR,OLLL,OLLR,CEPDL,CEPDR,CEPVL,CEPVR,ALML,ALMR,AVM,PVM,PLML,PLMR,ALNL,ALNR,PLNL,PLNR,FLPL,FLPR,BDUL,BDUR,SDQL,SDQR,PVDL,PVDR,BAGL,BAGR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,AQR,PQR,AUAL,AUAR,ADEL,ADER,PDEL,PDER,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,AIAL,AIAR,AIBL,AIBR,AIYL,AIYR,AIZL,AIZR,ADAL,ADAR,AIML,AIMR,AINL,AINR,ALA,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RIFL,RIFR,RIGL,RIGR,RIH,RIR,RIS,RMFL,RMFR,RMGL,RMGR,URBL,URBR,RIPL,RIPR,CANL,CANR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,DVA,DVB,DVC,PVNL,PVNR,PVPL,PVPR,PVQL,PVQR,PVR,PVT,PVWL,PVWR,RID,PVCL,PVCR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,LUAL,LUAR,RIML,RIMR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMHL,RMHR,RIVL,RIVR,URADL,URADR,URAVL,URAVR,SAADL,SAADR,SAAVL,SAAVR,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,DA01,DA02,DA03,DA04,DA05,DA06,DA07,DA08,DA09,PDA,DB01,DB02,DB03,DB04,DB05,DB06,DB07,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,PDB,DD01,DD02,DD03,DD04,DD05,DD06,VA01,VA02,VA03,VA04,VA05,VA06,VA07,VA08,VA09,VA10,VA11,VA12,VB01,VB02,VB03,VB04,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,dBWML1,dBWML2,dBWML3,dBWML4,dBWML5,dBWML6,dBWML7,dBWML8,dBWML9,dBWML10,dBWML11,dBWML12,dBWML13,dBWML14,dBWML15,dBWML16,dBWML17,dBWML18,dBWML19,dBWML20,dBWML21,dBWML22,dBWML23,dBWML24,dBWMR1,dBWMR2,dBWMR3,dBWMR4,dBWMR5,dBWMR6,dBWMR7,dBWMR8,dBWMR9,dBWMR10,dBWMR11,dBWMR12,dBWMR13,dBWMR14,dBWMR15,dBWMR16,dBWMR17,dBWMR18,dBWMR19,dBWMR20,dBWMR21,dBWMR22,dBWMR23,dBWMR24,vBWML1,vBWML2,vBWML3,vBWML4,vBWML5,vBWML6,vBWML7,vBWML8,vBWML9,vBWML10,vBWML11,vBWML12,vBWML13,vBWML14,vBWML15,vBWML16,vBWML17,vBWML18,vBWML19,vBWML20,vBWML21,vBWML22,vBWML23,vBWMR1,vBWMR2,vBWMR3,vBWMR4,vBWMR5,vBWMR6,vBWMR7,vBWMR8,vBWMR9,vBWMR10,vBWMR11,vBWMR12,vBWMR13,vBWMR14,vBWMR15,vBWMR16,vBWMR17,vBWMR18,vBWMR19,vBWMR20,vBWMR21,vBWMR22,vBWMR23,vBWMR24,hyp,intestine,intL,intR,sph,anal,CEMDL,CEMDR,CEMVL,CEMVR,MCML,MCMR,R1AL,R1AR,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,PVV,PVX,PVY,PVZ,DVE,DVF,DX1,DX2,DX3,EF1,EF2,EF3,PDC,PGA,CA01,CA02,CA03,CA04,CA05,CA06,CA07,CA08,CA09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,dglL1,dglL2,dglL3,dglL4,dglL5,dglL6,dglL7,dglR1,dglR2,dglR3,dglR4,dglR5,dglR6,dglR7,dglR8,aobL,aobR,pobL,pobR,gecL,gecR,grtL,grtR,cdlL,cdlR,ailL,ailR,pilL,pilR,polL,polR,dspL,dspR,vspL,vspR,dsrL,dsrR,vsrL,vsrR,
PHARYNX - NEURONS,I1L,,,2,,,,,,,,,2,,,,,1,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I1L
,I1R,,,,1,1,,,,,,,,,,,,4,,,2,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I1R
,I2L,2,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2L
,I2R,,1,,,,,,,1,,1,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2R
,I3,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I3
,I4,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I4
,I5,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I5
,I6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I6
